id_remediacao,id_teste,id_controle,id_ciclo,descricao_acao,responsavel_acao,area_responsavel,severidade,data_abertura,data_prazo,data_conclusao,status_remediacao,evidencia_anexada
R001,T0001,C009,CIC001,Revisão e correção do controle C009 - Falha Crítica,Bruno Alves,Controles Internos,Alta,2024-03-16,2024-04-15,,Atrasado,Sim
R002,T0005,C004,CIC001,Revisão e correção do controle C004 - Deficiência Operacional,Camila Souza,Financeiro,Média,2024-02-01,2024-04-01,,Em andamento,Sim
R003,T0008,C020,CIC001,Revisão e correção do controle C020 - Deficiência de Design,Fernanda Oliveira,Crédito,Média,2024-03-02,2024-05-01,2024-03-14,Concluído,Sim
R004,T0011,C007,CIC001,Revisão e correção do controle C007 - Deficiência de Design,Lucas Pereira,Crédito,Média,2024-02-21,2024-04-21,2024-03-07,Concluído,Sim
R005,T0012,C001,CIC001,Revisão e correção do controle C001 - Deficiência de Design,Ricardo Mendes,Financeiro,Média,2024-03-08,2024-05-07,,Em andamento,Sim
R006,T0014,C018,CIC001,Revisão e correção do controle C018 - Deficiência Operacional,Ricardo Mendes,Controles Internos,Baixa,2024-02-21,2024-05-21,2024-03-08,Concluído,Não
R007,T0016,C006,CIC001,Revisão e correção do controle C006 - Deficiência Operacional,Camila Souza,Crédito,Baixa,2024-03-21,2024-06-19,,Em andamento,Sim
R008,T0019,C016,CIC001,Revisão e correção do controle C016 - Deficiência de Design,Lucas Pereira,TI,Média,2024-03-14,2024-05-13,,Em andamento,Não
R009,T0024,C011,CIC002,Revisão e correção do controle C011 - Falha Crítica,Fernanda Oliveira,Financeiro,Alta,2024-06-20,2024-07-20,,Atrasado,Não
R010,T0025,C002,CIC002,Revisão e correção do controle C002 - Deficiência de Design,Camila Souza,Controles Internos,Baixa,2024-05-15,2024-08-13,,Em andamento,Não
R011,T0026,C005,CIC002,Revisão e correção do controle C005 - Falha Crítica,Lucas Pereira,Controles Internos,Alta,2024-05-21,2024-06-20,,Em andamento,Não
R012,T0031,C014,CIC002,Revisão e correção do controle C014 - Deficiência de Design,Bruno Alves,TI,Baixa,2024-05-13,2024-08-11,2024-07-30,Concluído,Sim
R013,T0032,C012,CIC002,Revisão e correção do controle C012 - Falha Crítica,Camila Souza,TI,Alta,2024-06-23,2024-07-23,,Não iniciado,Sim
R014,T0035,C016,CIC002,Revisão e correção do controle C016 - Deficiência de Design,Felipe Santos,Compliance,Média,2024-04-20,2024-06-19,2024-06-13,Concluído,Sim
R015,T0041,C004,CIC003,Revisão e correção do controle C004 - Falha Crítica,Lucas Pereira,Crédito,Alta,2024-09-18,2024-10-18,,Em andamento,Sim
R016,T0042,C002,CIC003,Revisão e correção do controle C002 - Deficiência Operacional,Lucas Pereira,Controles Internos,Baixa,2024-09-14,2024-12-13,2024-10-30,Concluído,Sim
R017,T0045,C001,CIC003,Revisão e correção do controle C001 - Deficiência de Design,Ricardo Mendes,TI,Média,2024-09-28,2024-11-27,,Atrasado,Sim
R018,T0049,C007,CIC003,Revisão e correção do controle C007 - Deficiência de Design,Mariana Costa,Controles Internos,Baixa,2024-07-19,2024-10-17,2024-08-03,Concluído,Não
R019,T0052,C012,CIC003,Revisão e correção do controle C012 - Deficiência de Design,Camila Souza,TI,Média,2024-09-19,2024-11-18,,Em andamento,Não
R020,T0055,C005,CIC003,Revisão e correção do controle C005 - Deficiência Operacional,Fernanda Oliveira,Controles Internos,Média,2024-09-12,2024-11-11,,Atrasado,Sim
R021,T0056,C006,CIC003,Revisão e correção do controle C006 - Deficiência Operacional,Fernanda Oliveira,TI,Média,2024-08-14,2024-10-13,,Em andamento,Não
R022,T0057,C010,CIC003,Revisão e correção do controle C010 - Deficiência Operacional,Camila Souza,Crédito,Média,2024-07-31,2024-09-29,,Atrasado,Não
R023,T0058,C001,CIC004,Revisão e correção do controle C001 - Deficiência de Design,Bruno Alves,TI,Média,2024-10-22,2024-12-21,,Em andamento,Sim
R024,T0061,C005,CIC004,Revisão e correção do controle C005 - Deficiência de Design,Bruno Alves,Controles Internos,Média,2024-11-14,2025-01-13,,Em andamento,Sim
R025,T0062,C002,CIC004,Revisão e correção do controle C002 - Deficiência de Design,Mariana Costa,Compliance,Baixa,2024-11-07,2025-02-05,2024-12-03,Concluído,Sim
R026,T0068,C007,CIC004,Revisão e correção do controle C007 - Deficiência de Design,Ricardo Mendes,Crédito,Baixa,2024-11-28,2025-02-26,2024-12-18,Concluído,Sim
R027,T0069,C011,CIC004,Revisão e correção do controle C011 - Falha Crítica,Ricardo Mendes,Crédito,Alta,2024-12-05,2025-01-04,,Em andamento,Não
R028,T0071,C012,CIC004,Revisão e correção do controle C012 - Falha Crítica,Camila Souza,Crédito,Alta,2024-11-16,2024-12-16,,Não iniciado,Sim
R029,T0074,C015,CIC004,Revisão e correção do controle C015 - Deficiência Operacional,Ricardo Mendes,Compliance,Baixa,2024-11-28,2025-02-26,2024-12-30,Concluído,Não
R030,T0077,C007,CIC005,Revisão e correção do controle C007 - Deficiência de Design,Felipe Santos,Financeiro,Baixa,2025-03-21,2025-06-19,2025-06-01,Concluído,Sim
R031,T0079,C016,CIC005,Revisão e correção do controle C016 - Falha Crítica,Fernanda Oliveira,Compliance,Alta,2025-03-18,2025-04-17,,Em andamento,Sim
R032,T0082,C002,CIC005,Revisão e correção do controle C002 - Deficiência Operacional,Lucas Pereira,Financeiro,Média,2025-03-23,2025-05-22,,Em andamento,Sim
R033,T0083,C005,CIC005,Revisão e correção do controle C005 - Falha Crítica,Bruno Alves,Financeiro,Alta,2025-02-22,2025-03-24,,Em andamento,Sim
R034,T0084,C009,CIC005,Revisão e correção do controle C009 - Deficiência de Design,Bruno Alves,Controles Internos,Média,2025-02-28,2025-04-29,,Atrasado,Sim
R035,T0088,C014,CIC005,Revisão e correção do controle C014 - Deficiência Operacional,Ricardo Mendes,Controles Internos,Baixa,2025-02-02,2025-05-03,2025-02-19,Concluído,Sim
R036,T0089,C019,CIC005,Revisão e correção do controle C019 - Falha Crítica,Fernanda Oliveira,TI,Alta,2025-03-13,2025-04-12,,Atrasado,Não
